MONTH,DAY,DAY_OF_WEEK,BIKE_NUMBER,ORIGIN_POINT_CODE,DESTINATION_POINT_CODE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,BIKING_TIME,NE_Traffic,N_Traffic,E_Traffic,SE_Traffic,S_Traffic,SW_Traffic,W_Traffic,NW_Traffic,Importance?
1,1,4,914,TUL,MDW,815,810,-5,73,NE_Abnormal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Important
1,1,4,1706,DTW,LAX,857,855,-2,78,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_normal,Normal
1,1,4,530,DEN,MDW,830,825,-5,46,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,827,FLL,ATL,645,639,-6,82,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Important
1,1,4,4411,MEM,EWR,600,552,-8,28,NE_Abnormal,North_Abnormal,East_Abnormal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_normal,Normal
1,1,4,2381,LAX,MCO,800,759,-1,24,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,1763,RSW,ORD,750,747,-3,72,NE_Normal,North_Abnormal,East_normal,SE_Abnormal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,231,ATL,FLL,700,725,25,65,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,318,JFK,BOS,645,638,-7,90,NE_Normal,North_normal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,610,SFO,PHX,600,557,-3,54,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,891,MIA,ATL,625,621,-4,22,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,1974,HOU,PHX,735,731,-4,69,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_normal,SW_normal,West_normal,NW_normal,Normal
1,1,4,4756,CLT,ORD,600,559,-1,84,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,530,LAX,BNA,720,715,-5,46,NE_Abnormal,North_normal,East_normal,SE_normal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,1737,TPA,MIA,735,729,-6,21,NE_Abnormal,North_normal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,1863,DAL,BWI,705,703,-2,87,NE_Normal,North_Abnormal,East_normal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,2351,PBI,LGA,700,656,-4,82,NE_Normal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_normal,Normal
1,1,4,1310,DFW,CLE,855,942,47,44,NE_Abnormal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,4323,CMH,LAS,715,717,2,72,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,3338,GSP,DFW,600,,,53,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,1403,AUS,LAX,715,759,44,75,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,5490,SFO,PSP,900,900,0,19,NE_Normal,North_Abnormal,East_normal,SE_normal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,2555,SHV,DFW,640,656,16,21,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,196,MIA,PHL,600,604,4,54,NE_Abnormal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,1104,CLE,FLL,600,556,-4,85,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,723,DCA,MCO,700,652,-8,47,NE_Abnormal,North_normal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,2067,CMH,ATL,710,708,-2,36,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,1568,SAN,EWR,620,615,-5,33,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,6534,ATL,DEN,855,853,-2,81,NE_Abnormal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,1764,CLE,RSW,702,701,-1,41,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Important
1,1,4,1324,BNA,ATL,645,642,-3,30,NE_Normal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,4197,IAH,MCI,900,858,-2,71,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,5491,OAJ,ATL,600,552,-8,77,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_normal,Important
1,1,4,1989,LAS,MKE,755,753,-2,15,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,2226,ATL,FLL,800,759,-1,30,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,3446,MHK,ORD,715,755,40,35,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Important
1,1,4,606,LGB,SEA,806,758,-8,56,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_Abnormal,Normal
1,1,4,752,HOU,MDW,715,711,-4,16,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Important
1,1,4,446,MCI,PHX,550,544,-6,18,NE_Normal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,443,JFK,LAX,830,825,-5,86,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_normal,Normal
1,1,4,1592,EWR,MCO,751,835,44,83,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_Abnormal,Normal
1,1,4,691,ONT,MDW,710,743,33,36,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,1236,SJU,STT,748,737,-11,51,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,355,SAN,LAS,850,845,-5,64,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Important
1,1,4,722,DEN,DCA,745,740,-5,67,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_normal,Important
1,1,4,2533,TYS,DFW,600,559,-1,55,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Important
1,1,4,1506,MIA,SJU,713,728,15,69,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,782,MIA,JFK,815,813,-2,45,NE_Abnormal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,3,JFK,SJU,714,711,-3,39,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,618,SEA,ORD,903,901,-2,31,NE_Normal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,2243,RDU,MSP,835,826,-9,24,NE_Normal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,2001,BUF,JFK,535,530,-5,84,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,178,BNA,LAS,715,714,-1,60,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,3342,DFW,LEX,840,,,52,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_normal,Normal
1,1,4,232,LGB,SLC,856,849,-7,72,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,858,ALB,CLT,800,800,0,65,NE_Normal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,605,BWI,PHX,705,704,-1,81,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,3189,CID,DFW,600,,,20,NE_Normal,North_Abnormal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,902,SFO,LAS,900,853,-7,15,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,5764,ORD,IAD,632,627,-5,60,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Important
1,1,4,1279,PHL,MCO,530,526,-4,63,NE_Normal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,495,TPA,PHX,720,716,-4,48,NE_Normal,North_normal,East_normal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,2897,DFW,GPT,815,,,75,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,1221,PDX,DEN,530,534,4,50,NE_Normal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,1577,ATL,BOS,850,907,17,59,NE_Normal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,904,LGA,ATL,600,601,1,87,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,5471,RKS,DEN,700,,,17,NE_Normal,North_Abnormal,East_Abnormal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,1169,MIA,LAX,755,753,-2,31,NE_Normal,North_normal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,2424,LAX,DFW,650,641,-9,40,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_Abnormal,West_Abnormal,NW_Abnormal,Normal
1,1,4,1422,DFW,HDN,800,918,78,23,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,6389,ORD,TVC,808,803,-5,50,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,3205,SAV,DFW,620,,,61,NE_Normal,North_Abnormal,East_Abnormal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,490,FLL,CLT,810,801,-9,19,NE_Abnormal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Important
1,1,4,5428,HYS,DEN,650,650,0,76,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,4771,DLH,MSP,900,854,-6,57,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,5732,CAE,IAD,603,605,2,17,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,4691,EWR,DAY,745,741,-4,77,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,1162,EWR,BOS,829,827,-2,47,NE_Abnormal,North_Abnormal,East_Abnormal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Important
1,1,4,4221,BTR,IAH,702,653,-9,41,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,342,HNL,ITO,808,809,1,34,NE_Normal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,1198,PSP,DFW,725,736,11,59,NE_Normal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,766,SEA,BWI,815,815,0,71,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,706,DEN,MSY,838,832,-6,73,NE_Abnormal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Important
1,1,4,1561,PHX,IAH,820,838,18,87,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,4682,LIT,IAH,755,802,7,42,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,361,EWR,MIA,759,805,6,53,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,717,PIT,BNA,845,840,-5,54,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,6070,XNA,DEN,800,756,-4,51,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,2326,MIA,DCA,645,718,33,83,NE_Normal,North_Abnormal,East_normal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,722,SLC,LAX,700,717,17,18,NE_Normal,North_normal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_Abnormal,Normal
1,1,4,5688,IAD,CLE,816,807,-9,62,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_normal,Important
1,1,4,1989,FLL,LGA,900,856,-4,38,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,1326,TUL,ORD,800,841,41,26,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,5595,ASE,DEN,755,807,12,76,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,1553,LAS,ATL,715,712,-3,24,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_normal,Normal
1,1,4,183,LAS,LAX,735,726,-9,59,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,2252,CHS,ATL,845,842,-3,63,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,721,BOS,PBI,545,551,6,27,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_normal,Normal
1,1,4,1275,JFK,STT,800,755,-5,25,NE_Normal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,110,LIH,HNL,706,853,107,35,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_normal,Normal
1,1,4,827,OAK,HNL,900,903,3,15,NE_Normal,North_normal,East_Abnormal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,619,BOS,SAN,700,657,-3,52,NE_Abnormal,North_Abnormal,East_Abnormal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,3576,MEM,MIA,810,759,-11,57,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,690,SEA,GEG,800,757,-3,23,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,4471,CLT,EWR,832,827,-5,80,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,1121,PDX,LGB,700,649,-11,15,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_normal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,3122,DCA,TPA,850,941,51,17,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,395,ORD,SJU,830,1409,339,84,NE_Normal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,6616,FAT,PHX,615,614,-1,51,NE_Abnormal,North_Abnormal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,4833,MKE,DTW,545,543,-2,39,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,6431,LAX,SAT,804,823,19,29,NE_Normal,North_normal,East_Abnormal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,137,DEN,SEA,740,736,-4,29,NE_Normal,North_Abnormal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,2604,SAN,LAX,630,620,-10,90,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,1501,BOS,ATL,715,713,-2,28,NE_Abnormal,North_normal,East_normal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,428,JFK,TPA,800,753,-7,67,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,30,PDX,BOS,750,741,-9,33,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Important
1,1,4,873,ELP,DAL,810,830,20,81,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,2453,GSP,ATL,550,550,0,65,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,1201,PHL,IAH,530,532,2,61,NE_Normal,North_Abnormal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,312,LAX,MCO,840,841,1,31,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,1949,CLE,CLT,835,828,-7,68,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,188,OAK,LAS,600,551,-9,75,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_normal,NW_normal,Important
1,1,4,968,SEA,ATL,745,745,0,70,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Important
1,1,4,3460,PDX,ONT,635,635,0,23,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,2572,MEI,DFW,725,724,-1,46,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,310,MCO,PVD,815,808,-7,15,NE_Abnormal,North_normal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,795,AUS,ATL,640,637,-3,52,NE_Normal,North_Abnormal,East_normal,SE_Abnormal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,5248,ORD,MCI,847,843,-4,20,NE_Normal,North_normal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_normal,Normal
1,1,4,1074,BDL,DTW,906,903,-3,42,NE_Abnormal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Important
1,1,4,1168,PBI,HPN,814,806,-8,20,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,1030,BQN,MCO,307,304,-3,75,NE_Normal,North_Abnormal,East_normal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_Abnormal,Normal
1,1,4,1866,PIT,CLT,650,653,3,47,NE_Normal,North_Abnormal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_Abnormal,NW_normal,Normal
1,1,4,1093,DEN,TUS,835,837,2,57,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_normal,Normal
1,1,4,1872,TPA,ATL,630,629,-1,84,NE_Normal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_normal,NW_normal,Normal
1,1,4,1226,BWI,BOS,804,752,-12,64,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,1206,SAT,DFW,720,715,-5,51,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,1952,ATL,TLH,825,821,-4,32,NE_Abnormal,North_normal,East_Abnormal,SE_Abnormal,South_Abnormal,SW_normal,West_Abnormal,NW_normal,Important
1,1,4,2134,SJU,MCO,400,535,95,86,NE_Abnormal,North_Abnormal,East_Abnormal,SE_normal,South_normal,SW_Abnormal,West_normal,NW_Abnormal,Important
1,1,4,552,SAT,ELP,705,734,29,34,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,1593,MEM,ATL,750,746,-4,48,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,148,LGB,OAK,650,648,-2,77,NE_Normal,North_normal,East_normal,SE_normal,South_Abnormal,SW_normal,West_Abnormal,NW_Abnormal,Normal
1,1,4,304,PBI,BWI,755,754,-1,66,NE_Normal,North_Abnormal,East_Abnormal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,531,BUR,SEA,700,904,124,53,NE_Normal,North_normal,East_normal,SE_Abnormal,South_normal,SW_normal,West_Abnormal,NW_normal,Normal
1,1,4,167,MIA,SFO,715,747,32,57,NE_Abnormal,North_Abnormal,East_normal,SE_Abnormal,South_Abnormal,SW_Abnormal,West_Abnormal,NW_Abnormal,Important
1,1,4,6289,SFO,MMH,835,832,-3,68,NE_Abnormal,North_Abnormal,East_normal,SE_normal,South_Abnormal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,303,MCO,SLC,717,713,-4,25,NE_Normal,North_normal,East_normal,SE_normal,South_normal,SW_normal,West_normal,NW_Abnormal,Normal
1,1,4,1729,MCO,CLT,845,847,2,40,NE_Normal,North_normal,East_Abnormal,SE_normal,South_Abnormal,SW_Abnormal,West_normal,NW_normal,Normal
